year,team,division_rank,playoffs,attendance_game_avg,attendance_league_rank,est_payroll,ppf,bpf,stadium
2009,NYY,1,2,45918,1st of 14,210330039.0,103,105,Yankee Stadium III
2010,NYY,2,1,46491,1st of 14,210733389.0,104,106,Yankee Stadium III
2011,NYY,1,1,45107,1st of 14,206275028.0,105,106,Yankee Stadium III
2012,NYY,1,1,43733,1st of 14,197977900.0,103,104,Yankee Stadium III
2013,NYY,3,0,40489,1st of 15,246534750.0,100,100,Yankee Stadium III
2014,NYY,2,0,41995,1st of 15,258118959.0,100,100,Yankee Stadium III
2015,NYY,2,1,39430,1st of 15,214051957.0,101,101,Yankee Stadium III
2016,NYY,4,0,37820,2nd of 15,193229350.0,102,103,Yankee Stadium III
2017,NYY,2,1,38950,2nd of 15,182424700.0,103,104,Yankee Stadium III
2018,NYY,2,1,42998,1st of 15,160743032.0,98,100,Yankee Stadium III
2019,NYY,1,1,40795,1st of 15,228442421.0,96,98,Yankee Stadium III
1995,OAK,4,0,16310,12th of 14,37739225.0,91,91,Oakland-Alameda County Coliseum
1996,OAK,3,0,14178,14th of 14,21243000.0,102,101,"Cashman Field, Oakland-Alameda County Coliseum"
1997,OAK,4,0,15608,14th of 14,24018500.0,97,96,Oakland-Alameda County Coliseum
1998,OAK,4,0,15214,13th of 14,21473000.0,97,96,Network Associates Coliseum
1999,OAK,2,0,17711,12th of 14,24831833.0,94,94,Network Associates Coliseum
2000,OAK,1,1,19799,11th of 14,33172333.0,95,96,Network Associates Coliseum
2001,OAK,2,1,26337,7th of 14,33810750.0,97,98,Network Associates Coliseum
2002,OAK,1,1,26788,8th of 14,40004167.0,97,98,Network Associates Coliseum
2003,OAK,1,1,27365,6th of 14,50260834.0,98,99,Network Associates Coliseum
2004,OAK,2,0,27179,7th of 14,59425667.0,98,99,Network Associates Coliseum
2005,OAK,2,0,26038,8th of 14,55425762.0,100,100,McAfee Coliseum
2006,OAK,1,1,24403,12th of 14,64843079.0,97,97,McAfee Coliseum
2007,OAK,3,0,23726,12th of 14,79366940.0,94,94,McAfee Coliseum
2008,OAK,3,0,20559,13th of 14,47967126.0,94,94,"McAfee Coliseum, Tokyo Dome"
